artifact_type,case_id,path,exists,size_bytes,rows,sha256,notes
local_synthetic_mask,286_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/286_0_0_synthetic_lollipop.nii.gz,True,11476,,5c8b1035c5735acd012a53761e557e1968c17a92e5868a6e0299f2b20230522f,mask_voxels=776; mask_volume_mm3=776; manifest_realized=776; in_pulled_features=True; shape=136x136x136; spacing=1x1x1
local_synthetic_mask,286_1_190,rivanna_pull/analysis/synthetic_lollipop_v1/masks/286_1_190_synthetic_lollipop.nii.gz,True,16300,,1a47063c59e7724d2595a8d98b3844e5d5e667ff840e2bc208e6f0f9a6eef269,mask_voxels=1304; mask_volume_mm3=1304; manifest_realized=1304; in_pulled_features=True; shape=153x153x153; spacing=1x1x1
local_synthetic_mask,286_2_297,rivanna_pull/analysis/synthetic_lollipop_v1/masks/286_2_297_synthetic_lollipop.nii.gz,True,22998,,2373d26bf1dda4bcbcb39d36f7e7addef1ceb27ac8a6530bd744e4391f334a01,mask_voxels=1565; mask_volume_mm3=1565; manifest_realized=1565; in_pulled_features=True; shape=172x172x172; spacing=1x1x1
local_synthetic_mask,301_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/301_0_0_synthetic_lollipop.nii.gz,True,1829,,8abd5f30d1e22701392137036256dbeedb39d95fd35ff51209e6a35d83204701,mask_voxels=12; mask_volume_mm3=12; manifest_realized=12; in_pulled_features=True; shape=73x73x73; spacing=1x1x1
local_synthetic_mask,301_1_229,rivanna_pull/analysis/synthetic_lollipop_v1/masks/301_1_229_synthetic_lollipop.nii.gz,True,1895,,24a0b3a4cad80528cb71ca85828383bc48e4c1f380771bfbed5b9f9d89eb8b03,mask_voxels=14; mask_volume_mm3=14; manifest_realized=14; in_pulled_features=True; shape=74x74x74; spacing=1x1x1
local_synthetic_mask,301_2_614,rivanna_pull/analysis/synthetic_lollipop_v1/masks/301_2_614_synthetic_lollipop.nii.gz,True,1897,,13cf314410349a176752e37e3053c4aef9966f29f62c7ba0f7939c1c5e50bdb3,mask_voxels=13; mask_volume_mm3=13; manifest_realized=13; in_pulled_features=True; shape=74x74x74; spacing=1x1x1
local_synthetic_mask,304_0_0,rivanna_pull/analysis/synthetic_lollipop_v1/masks/304_0_0_synthetic_lollipop.nii.gz,True,11088,,5f352f080c2666f490640cecfecf69356da7677b11fde650a1411a82b1deafe4,mask_voxels=547; mask_volume_mm3=547; manifest_realized=547; in_pulled_features=True; shape=135x135x135; spacing=1x1x1
local_synthetic_mask,304_1_206,rivanna_pull/analysis/synthetic_lollipop_v1/masks/304_1_206_synthetic_lollipop.nii.gz,True,11186,,eb45c838a17cae3c4eaa2a36bf12a69d6cc3222124607837935e4cd9f8beb106,mask_voxels=648; mask_volume_mm3=648; manifest_realized=648; in_pulled_features=True; shape=135x135x135; spacing=1x1x1
local_synthetic_mask,309_1_177,rivanna_pull/analysis/synthetic_lollipop_v1/masks/309_1_177_synthetic_lollipop.nii.gz,True,3777,,66ceed7f55815276301ee9d9d20dc44c02ca696c331a2173281c17a0521bbaf1,mask_voxels=43; mask_volume_mm3=43; manifest_realized=43; in_pulled_features=True; shape=94x94x94; spacing=1x1x1
local_synthetic_mask,309_2_546,rivanna_pull/analysis/synthetic_lollipop_v1/masks/309_2_546_synthetic_lollipop.nii.gz,True,7749,,e2faf5e35d1986c68b734d24cf31e4763eba508f558647086eacae8caa52dd61,mask_voxels=159; mask_volume_mm3=159; manifest_realized=159; in_pulled_features=True; shape=120x120x120; spacing=1x1x1
